"Month","INandOUT"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Internal"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"01월","Outside"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Internal"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"02월","Outside"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Internal"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"03월","Outside"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Internal"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"04월","Outside"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Internal"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"05월","Outside"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Internal"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"06월","Outside"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Internal"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"07월","Outside"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Internal"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"08월","Outside"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Internal"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"09월","Outside"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Internal"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"10월","Outside"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Internal"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
"11월","Outside"
